word,count
the,33326
in,32150
a,27502
and,25050
of,20328
light,16303
sky,16253
lights,16174
to,15562
I,13896
over,13077
object,13031
was,11759
at,10377
with,9630
bright,8818
moving,8718
on,8406
it,7475
from,7072
then,7065
white,6744
shaped,6593
orange,6360
red,6137
saw,5673
my,5526
that,5403
like,5348
seen,5330
very,4884
craft,4750
flying,4477
A,4227
Bright,4153
UFO,4140
for,4080
objects,3812
no,3757
night,3721
out,3562
across,3481
up,3461
were,3439
about,3357
above,3155
by,3116
an,3099
hovering,3078
one,3034
It,2972
shape,2926
fast,2924
or,2895
green,2879
star,2790
blue,2701
as,2675
speed,2663
high,2648
large,2629
formation,2623
NUFORC,2595
Note,2581
PD,2574
slowly,2568
i,2455
north,2418
Orange,2398
west,2355
triangle,2343
east,2343
two,2332
south,2330
sound,2205
we,2171
into,2150
moved,2144
low,2131
ball,2080
Two,2072
The,2059
around,2053
off,2045
s,2037
not,2030
appeared,1996
looked,1990
glowing,1936
but,1902
be,1881
flashing,1852
traveling,1843
when,1827
near,1826
sighting,1812
just,1760
disappeared,1735
fireball,1700
triangular,1690
minutes,1646
Red,1623
Large,1620
round,1538
this,1527
We,1486
had,1457
three,1450
Lights,1436
sphere,1434
down,1432
Object,1404
away,1403
other,1376
me,1369
Light,1361
slow,1340
circular,1332
small,1316
observed,1315
yellow,1309
back,1298
what,1252
flew,1251
our,1247
White,1242
area,1235
seconds,1233
aircraft,1224
black,1223
time,1218
have,1206
silent,1196
looking,1189
direction,1186
Three,1174
oval,1170
My,1148
color,1148
house,1147
driving,1139
line,1133
went,1130
orb,1121
is,1112
horizon,1101
strange,1093
than,1087
clear,1086
all,1086
colored,1080
altitude,1078
ground,1062
side,1061
going,1060
spotted,1056
home,1054
before,1050
after,1045
stars,1041
noticed,1040
outside,1039
see,1028
Strange,1026
same,1020
straight,1010
hovered,1006
orbs,1004
THE,1000
stationary,995
feet,993
silver,990
through,988
ufo,984
while,977
each,964
us,962
they,961
Triangle,959
Very,952
right,951
noise,937
blinking,935
first,925
changing,919
IN,913
left,912
which,909
North,894
fire,885
plane,880
flash,864
t,864
close,859
circle,857
disk,853
quickly,852
size,844
On,844
dark,840
towards,835
witnessed,831
car,829
there,828
Possible,825
move,820
Saw,820
overhead,814
behind,810
Triangular,809
changed,808
cigar,807
clouds,804
air,799
came,797
made,786
moon,769
Green,768
heading,766
floating,763
saucer,748
CA,747
At,732
