19/03/2025 11:57:28 - INFO - main.py gestartet.
19/03/2025 11:57:28 - INFO - data_cleanup_script Skript startet.
19/03/2025 11:57:32 - INFO - data_cleanup Skript abgeschlossen.
19/03/2025 11:57:32 - INFO - datetime_analysis_script Skript startet.
19/03/2025 11:57:39 - INFO - datetime_analysis_script Skript abgeschlossen.
19/03/2025 11:57:39 - INFO - duration_analysis_script Skript startet.
19/03/2025 11:57:43 - INFO - duration_analysis_script Skript abgeschlossen.
19/03/2025 11:57:43 - INFO - area51_analysis_script Skript startet.
19/03/2025 11:57:49 - INFO - area51_analysis_script Skript abgeschlossen.
19/03/2025 11:57:49 - INFO - geo_analysis_script Skript startet.
19/03/2025 11:57:51 - INFO - geo_analysis_script Skript abgeschlossen.
19/03/2025 11:57:51 - INFO - shape_analysis_script Skript startet.
19/03/2025 11:57:57 - INFO - shape_analysis_script Skript abgeschlossen.
19/03/2025 11:58:01 - INFO - Skriptlaufzeit: 32.60 Sekunden
19/03/2025 14:16:32 - INFO - main.py gestartet.
19/03/2025 14:16:32 - INFO - data_cleanup_script Skript startet.
19/03/2025 14:16:41 - INFO - data_cleanup Skript abgeschlossen.
19/03/2025 14:16:41 - INFO - datetime_analysis_script Skript startet.
19/03/2025 14:16:55 - INFO - datetime_analysis_script Skript abgeschlossen.
19/03/2025 14:16:55 - INFO - duration_analysis_script Skript startet.
19/03/2025 14:16:59 - INFO - duration_analysis_script Skript abgeschlossen.
19/03/2025 14:16:59 - INFO - area51_analysis_script Skript startet.
19/03/2025 14:17:06 - INFO - area51_analysis_script Skript abgeschlossen.
19/03/2025 14:17:06 - INFO - geo_analysis_script Skript startet.
19/03/2025 14:17:08 - INFO - geo_analysis_script Skript abgeschlossen.
19/03/2025 14:17:08 - INFO - shape_analysis_script Skript startet.
19/03/2025 14:17:16 - INFO - shape_analysis_script Skript abgeschlossen.
19/03/2025 14:17:20 - INFO - Skriptlaufzeit: 47.75 Sekunden
19/03/2025 15:59:54 - INFO - main.py gestartet.
19/03/2025 15:59:54 - INFO - data_cleanup_script Skript startet.
19/03/2025 15:59:59 - INFO - data_cleanup Skript abgeschlossen.
19/03/2025 15:59:59 - INFO - datetime_analysis_script Skript startet.
19/03/2025 16:00:06 - INFO - datetime_analysis_script Skript abgeschlossen.
19/03/2025 16:00:06 - INFO - duration_analysis_script Skript startet.
19/03/2025 16:00:11 - INFO - duration_analysis_script Skript abgeschlossen.
19/03/2025 16:00:11 - INFO - area51_analysis_script Skript startet.
19/03/2025 16:00:16 - INFO - area51_analysis_script Skript abgeschlossen.
19/03/2025 16:00:16 - INFO - geo_analysis_script Skript startet.
19/03/2025 16:00:18 - INFO - geo_analysis_script Skript abgeschlossen.
19/03/2025 16:00:18 - INFO - shape_analysis_script Skript startet.
19/03/2025 16:00:25 - INFO - shape_analysis_script Skript abgeschlossen.
19/03/2025 16:00:29 - INFO - Skriptlaufzeit: 34.98 Sekunden
19/03/2025 16:06:15 - INFO - main.py gestartet.
19/03/2025 16:06:15 - INFO - data_cleanup_script Skript startet.
19/03/2025 16:06:19 - INFO - data_cleanup Skript abgeschlossen.
19/03/2025 16:06:19 - INFO - datetime_analysis_script Skript startet.
19/03/2025 16:06:27 - INFO - datetime_analysis_script Skript abgeschlossen.
19/03/2025 16:06:27 - INFO - duration_analysis_script Skript startet.
19/03/2025 16:06:31 - INFO - duration_analysis_script Skript abgeschlossen.
19/03/2025 16:06:31 - INFO - area51_analysis_script Skript startet.
19/03/2025 16:06:37 - INFO - area51_analysis_script Skript abgeschlossen.
19/03/2025 16:06:37 - INFO - geo_analysis_script Skript startet.
19/03/2025 16:06:39 - INFO - geo_analysis_script Skript abgeschlossen.
19/03/2025 16:06:39 - INFO - shape_analysis_script Skript startet.
19/03/2025 16:06:46 - INFO - shape_analysis_script Skript abgeschlossen.
19/03/2025 16:06:50 - INFO - Skriptlaufzeit: 35.49 Sekunden
19/03/2025 16:11:57 - INFO - main.py gestartet.
19/03/2025 16:11:57 - INFO - data_cleanup_script Skript startet.
19/03/2025 16:12:02 - INFO - data_cleanup Skript abgeschlossen.
19/03/2025 16:12:02 - INFO - datetime_analysis_script Skript startet.
19/03/2025 16:12:09 - INFO - datetime_analysis_script Skript abgeschlossen.
19/03/2025 16:12:09 - INFO - duration_analysis_script Skript startet.
19/03/2025 16:12:14 - INFO - duration_analysis_script Skript abgeschlossen.
19/03/2025 16:12:14 - INFO - area51_analysis_script Skript startet.
19/03/2025 16:12:20 - INFO - area51_analysis_script Skript abgeschlossen.
19/03/2025 16:12:20 - INFO - geo_analysis_script Skript startet.
19/03/2025 16:13:03 - INFO - geo_analysis_script Skript abgeschlossen.
19/03/2025 16:13:03 - INFO - shape_analysis_script Skript startet.
19/03/2025 16:13:10 - INFO - shape_analysis_script Skript abgeschlossen.
19/03/2025 16:13:14 - INFO - Skriptlaufzeit: 76.37 Sekunden
19/03/2025 16:34:05 - INFO - main.py gestartet.
19/03/2025 16:34:05 - INFO - data_cleanup_script Skript startet.
19/03/2025 16:34:10 - INFO - data_cleanup Skript abgeschlossen.
19/03/2025 16:34:10 - INFO - datetime_analysis_script Skript startet.
19/03/2025 16:34:17 - INFO - datetime_analysis_script Skript abgeschlossen.
19/03/2025 16:34:17 - INFO - duration_analysis_script Skript startet.
19/03/2025 16:34:22 - INFO - duration_analysis_script Skript abgeschlossen.
19/03/2025 16:34:22 - INFO - area51_analysis_script Skript startet.
19/03/2025 16:34:28 - INFO - area51_analysis_script Skript abgeschlossen.
19/03/2025 16:34:28 - INFO - geo_analysis_script Skript startet.
19/03/2025 16:35:11 - INFO - geo_analysis_script Skript abgeschlossen.
19/03/2025 16:35:11 - INFO - shape_analysis_script Skript startet.
19/03/2025 16:35:18 - INFO - shape_analysis_script Skript abgeschlossen.
19/03/2025 16:35:22 - INFO - Skriptlaufzeit: 76.47 Sekunden
